,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,LapNumber,Sector1Time,Sector2Time,Sector3Time,LapTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),RollingAverageLap
30,VER,0 days 00:01:18.741000,31.0,1.0,MEDIUM,31.0,31.0,0 days 00:00:20.522000,0 days 00:00:37.201000,0 days 00:00:21.018000,78.741,20.522,37.201,21.018,77.4142
31,VER,0 days 00:01:18.816000,32.0,1.0,MEDIUM,32.0,32.0,0 days 00:00:20.514000,0 days 00:00:37.616000,0 days 00:00:20.686000,78.816,20.514,37.616,20.686,77.45941935483872
32,VER,0 days 00:01:18.946000,33.0,1.0,MEDIUM,33.0,33.0,0 days 00:00:20.388000,0 days 00:00:37.184000,0 days 00:00:21.374000,78.946,20.388,37.184,21.374,77.505875
33,VER,0 days 00:01:18.044000,34.0,1.0,MEDIUM,34.0,34.0,0 days 00:00:20.330000,0 days 00:00:36.922000,0 days 00:00:20.792000,78.044,20.33,36.922,20.792,77.52218181818182
34,VER,0 days 00:01:18.024000,35.0,1.0,MEDIUM,35.0,35.0,0 days 00:00:20.355000,0 days 00:00:36.913000,0 days 00:00:20.756000,78.024,20.355,36.913,20.756,77.53694117647058
35,VER,0 days 00:01:17.974000,36.0,1.0,MEDIUM,36.0,36.0,0 days 00:00:20.616000,0 days 00:00:36.766000,0 days 00:00:20.592000,77.974,20.616,36.766,20.592,77.54942857142858
36,VER,0 days 00:01:17.273000,37.0,1.0,MEDIUM,37.0,37.0,0 days 00:00:20.145000,0 days 00:00:36.631000,0 days 00:00:20.497000,77.273,20.145,36.631,20.497,77.54175000000001
37,VER,0 days 00:01:17.122000,38.0,1.0,MEDIUM,38.0,38.0,0 days 00:00:20.055000,0 days 00:00:36.492000,0 days 00:00:20.575000,77.122,20.055,36.492,20.575,77.5304054054054
38,VER,0 days 00:01:16.966000,39.0,1.0,MEDIUM,39.0,39.0,0 days 00:00:20.026000,0 days 00:00:36.407000,0 days 00:00:20.533000,76.966,20.026,36.407,20.533,77.51555263157894
39,VER,0 days 00:01:17.161000,40.0,1.0,MEDIUM,40.0,40.0,0 days 00:00:20.110000,0 days 00:00:36.515000,0 days 00:00:20.536000,77.161,20.11,36.515,20.536,77.50646153846154
40,VER,0 days 00:01:16.944000,41.0,1.0,MEDIUM,41.0,41.0,0 days 00:00:20.092000,0 days 00:00:36.394000,0 days 00:00:20.458000,76.944,20.092,36.394,20.458,77.4924
41,VER,0 days 00:01:16.800000,42.0,1.0,MEDIUM,42.0,42.0,0 days 00:00:19.937000,0 days 00:00:36.446000,0 days 00:00:20.417000,76.8,19.937,36.446,20.417,77.47551219512195
42,VER,0 days 00:01:16.963000,43.0,1.0,MEDIUM,43.0,43.0,0 days 00:00:19.979000,0 days 00:00:36.577000,0 days 00:00:20.407000,76.963,19.979,36.577,20.407,77.46330952380951
43,VER,0 days 00:01:16.722000,44.0,1.0,MEDIUM,44.0,44.0,0 days 00:00:19.943000,0 days 00:00:36.347000,0 days 00:00:20.432000,76.722,19.943,36.347,20.432,77.44606976744186
44,VER,0 days 00:01:16.701000,45.0,1.0,MEDIUM,45.0,45.0,0 days 00:00:19.913000,0 days 00:00:36.379000,0 days 00:00:20.409000,76.701,19.913,36.379,20.409,77.42913636363636
45,VER,0 days 00:01:17.075000,46.0,1.0,MEDIUM,46.0,46.0,0 days 00:00:19.990000,0 days 00:00:36.632000,0 days 00:00:20.453000,77.075,19.99,36.632,20.453,77.42126666666667
46,VER,0 days 00:01:17.160000,47.0,1.0,MEDIUM,47.0,47.0,0 days 00:00:20.018000,0 days 00:00:36.619000,0 days 00:00:20.523000,77.16,20.018,36.619,20.523,77.41558695652175
47,VER,0 days 00:01:17.065000,48.0,1.0,MEDIUM,48.0,48.0,0 days 00:00:19.972000,0 days 00:00:36.606000,0 days 00:00:20.487000,77.065,19.972,36.606,20.487,77.40812765957446
48,VER,0 days 00:01:17.428000,49.0,1.0,MEDIUM,49.0,49.0,0 days 00:00:20.073000,0 days 00:00:36.700000,0 days 00:00:20.655000,77.428,20.073,36.7,20.655,77.40854166666666
49,VER,0 days 00:01:17.314000,50.0,1.0,MEDIUM,50.0,50.0,0 days 00:00:20.095000,0 days 00:00:36.655000,0 days 00:00:20.564000,77.314,20.095,36.655,20.564,77.40661224489796
50,VER,0 days 00:01:17.427000,51.0,1.0,MEDIUM,51.0,51.0,0 days 00:00:20.073000,0 days 00:00:36.836000,0 days 00:00:20.518000,77.427,20.073,36.836,20.518,77.40702
51,VER,0 days 00:01:24.046000,52.0,1.0,MEDIUM,52.0,52.0,0 days 00:00:20.561000,0 days 00:00:41.201000,0 days 00:00:22.284000,84.046,20.561,41.201,22.284,77.53719607843136
52,VER,0 days 00:01:29.919000,53.0,1.0,MEDIUM,53.0,53.0,0 days 00:00:23.457000,0 days 00:00:44.072000,0 days 00:00:22.390000,89.919,23.457,44.072,22.39,77.77530769230769
53,VER,0 days 00:01:38.946000,54.0,1.0,MEDIUM,54.0,54.0,0 days 00:00:24.995000,0 days 00:00:49.817000,0 days 00:00:24.134000,98.946,24.995,49.817,24.134,78.17475471698113
54,VER,0 days 00:02:10.567000,55.0,1.0,MEDIUM,55.0,55.0,0 days 00:00:28.610000,0 days 00:00:55.513000,0 days 00:00:46.444000,130.567,28.61,55.513,46.444,79.14498148148148
55,VER,0 days 00:01:46.131000,56.0,2.0,INTERMEDIATE,1.0,56.0,0 days 00:00:30.769000,0 days 00:00:48.885000,0 days 00:00:26.477000,106.131,30.769,48.885,26.477,79.63563636363637
56,VER,0 days 00:01:43.464000,57.0,2.0,INTERMEDIATE,2.0,57.0,0 days 00:00:28.427000,0 days 00:00:48.738000,0 days 00:00:26.299000,103.464,28.427,48.738,26.299,80.06114285714285
57,VER,0 days 00:01:42.808000,58.0,2.0,INTERMEDIATE,3.0,58.0,0 days 00:00:28.298000,0 days 00:00:47.828000,0 days 00:00:26.682000,102.808,28.298,47.828,26.682,80.46021052631579
58,VER,0 days 00:01:43.791000,59.0,2.0,INTERMEDIATE,4.0,59.0,0 days 00:00:28.509000,0 days 00:00:48.450000,0 days 00:00:26.832000,103.791,28.509,48.45,26.832,80.86246551724138
59,VER,0 days 00:01:41.540000,60.0,2.0,INTERMEDIATE,5.0,60.0,0 days 00:00:28.156000,0 days 00:00:47.156000,0 days 00:00:26.228000,101.54,28.156,47.156,26.228,81.21293220338983
60,VER,0 days 00:01:40.797000,61.0,2.0,INTERMEDIATE,6.0,61.0,0 days 00:00:26.984000,0 days 00:00:47.662000,0 days 00:00:26.151000,100.797,26.984,47.662,26.151,81.53933333333333
61,VER,0 days 00:01:39.272000,62.0,2.0,INTERMEDIATE,7.0,62.0,0 days 00:00:26.805000,0 days 00:00:46.575000,0 days 00:00:25.892000,99.272,26.805,46.575,25.892,81.83003278688524
62,VER,0 days 00:01:39.610000,63.0,2.0,INTERMEDIATE,8.0,63.0,0 days 00:00:26.537000,0 days 00:00:47.112000,0 days 00:00:25.961000,99.61,26.537,47.112,25.961,82.1168064516129
63,VER,0 days 00:01:38.364000,64.0,2.0,INTERMEDIATE,9.0,64.0,0 days 00:00:26.081000,0 days 00:00:46.953000,0 days 00:00:25.330000,98.364,26.081,46.953,25.33,82.37469841269841
64,VER,0 days 00:01:37.160000,65.0,2.0,INTERMEDIATE,10.0,65.0,0 days 00:00:25.762000,0 days 00:00:46.617000,0 days 00:00:24.781000,97.16,25.762,46.617,24.781,82.60571875
65,VER,0 days 00:01:34.035000,66.0,2.0,INTERMEDIATE,11.0,66.0,0 days 00:00:25.164000,0 days 00:00:45.389000,0 days 00:00:23.482000,94.035,25.164,45.389,23.482,82.78155384615386
66,VER,0 days 00:01:32.921000,67.0,2.0,INTERMEDIATE,12.0,67.0,0 days 00:00:24.664000,0 days 00:00:45.275000,0 days 00:00:22.982000,92.921,24.664,45.275,22.982,82.93518181818182
