,index,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime(s),RunningAvgDriver
52,284,0 days 02:11:05.082000,ALO,14,0 days 00:01:30.862000,53.0,1.0,,,0 days 00:00:24.002000,0 days 00:00:44.284000,0 days 00:00:22.576000,0 days 02:09:58.255000,0 days 02:10:42.539000,0 days 02:11:05.115000,131.0,165.0,256.0,274.0,False,HARD,54.0,False,Aston Martin,0 days 02:09:34.220000,2023-05-28 14:10:35.197,1,2.0,True,TRACK LIMITS AT TURN 10 LAP 53 ,False,True,90.862,78.14833962264152
53,285,0 days 02:12:55.393000,ALO,14,0 days 00:01:50.311000,54.0,1.0,,0 days 02:12:31.906000,0 days 00:00:23.855000,0 days 00:00:46.657000,0 days 00:00:39.799000,0 days 02:11:28.970000,0 days 02:12:15.627000,0 days 02:12:55.426000,133.0,159.0,,271.0,False,HARD,55.0,False,Aston Martin,0 days 02:11:05.082000,2023-05-28 14:12:06.059,1,2.0,False,,False,False,110.311,78.74394444444444
54,286,0 days 02:15:02.028000,ALO,14,0 days 00:02:06.635000,55.0,2.0,0 days 02:12:56.125000,0 days 02:14:36.873000,0 days 00:00:28.660000,0 days 00:00:51.697000,0 days 00:00:46.278000,0 days 02:13:24.086000,0 days 02:14:15.783000,0 days 02:15:02.061000,119.0,118.0,,253.0,False,MEDIUM,2.0,False,Aston Martin,0 days 02:12:55.393000,2023-05-28 14:13:56.370,2,2.0,True,TRACK LIMITS AT TURN 10 LAP 55 ,False,False,126.635,79.61469090909091
55,287,0 days 02:16:50.559000,ALO,14,0 days 00:01:48.531000,56.0,3.0,0 days 02:15:02.716000,,0 days 00:00:28.632000,0 days 00:00:52.761000,0 days 00:00:27.138000,0 days 02:15:30.693000,0 days 02:16:23.454000,0 days 02:16:50.592000,96.0,138.0,249.0,240.0,False,INTERMEDIATE,1.0,True,Aston Martin,0 days 02:15:02.028000,2023-05-28 14:16:03.005,2,2.0,False,,False,False,108.531,80.13105357142857
56,288,0 days 02:18:33.140000,ALO,14,0 days 00:01:42.581000,57.0,3.0,,,0 days 00:00:27.468000,0 days 00:00:48.109000,0 days 00:00:27.004000,0 days 02:17:18.060000,0 days 02:18:06.169000,0 days 02:18:33.173000,116.0,136.0,250.0,257.0,False,INTERMEDIATE,2.0,True,Aston Martin,0 days 02:16:50.559000,2023-05-28 14:17:51.536,1,2.0,True,TRACK LIMITS AT TURN 16 LAP 57 ,False,True,102.581,80.52491228070176
57,289,0 days 02:20:14.407000,ALO,14,0 days 00:01:41.267000,58.0,3.0,,,0 days 00:00:27.014000,0 days 00:00:48.020000,0 days 00:00:26.233000,0 days 02:19:00.187000,0 days 02:19:48.207000,0 days 02:20:14.440000,125.0,138.0,248.0,255.0,False,INTERMEDIATE,3.0,True,Aston Martin,0 days 02:18:33.140000,2023-05-28 14:19:34.117,2,2.0,False,,False,True,101.267,80.88253448275862
58,290,0 days 02:21:55.304000,ALO,14,0 days 00:01:40.897000,59.0,3.0,,,0 days 00:00:27.060000,0 days 00:00:47.367000,0 days 00:00:26.470000,0 days 02:20:41.500000,0 days 02:21:28.867000,0 days 02:21:55.337000,133.0,139.0,251.0,260.0,False,INTERMEDIATE,4.0,True,Aston Martin,0 days 02:20:14.407000,2023-05-28 14:21:15.384,2,2.0,False,,False,True,100.897,81.2217627118644
59,291,0 days 02:23:35.942000,ALO,14,0 days 00:01:40.638000,60.0,3.0,,,0 days 00:00:26.776000,0 days 00:00:47.743000,0 days 00:00:26.119000,0 days 02:22:22.113000,0 days 02:23:09.856000,0 days 02:23:35.975000,138.0,132.0,250.0,267.0,False,INTERMEDIATE,5.0,True,Aston Martin,0 days 02:21:55.304000,2023-05-28 14:22:56.281,2,2.0,False,,False,True,100.638,81.54536666666667
60,292,0 days 02:25:18.669000,ALO,14,0 days 00:01:42.727000,61.0,3.0,,,0 days 00:00:26.367000,0 days 00:00:48.926000,0 days 00:00:27.434000,0 days 02:24:02.342000,0 days 02:24:51.268000,0 days 02:25:18.702000,141.0,129.0,250.0,242.0,False,INTERMEDIATE,6.0,True,Aston Martin,0 days 02:23:35.942000,2023-05-28 14:24:36.919,2,2.0,False,,False,True,102.727,81.89260655737704
61,293,0 days 02:26:59.136000,ALO,14,0 days 00:01:40.467000,62.0,3.0,,,0 days 00:00:26.363000,0 days 00:00:48.029000,0 days 00:00:26.075000,0 days 02:25:45.065000,0 days 02:26:33.094000,0 days 02:26:59.169000,138.0,136.0,251.0,251.0,False,INTERMEDIATE,7.0,True,Aston Martin,0 days 02:25:18.669000,2023-05-28 14:26:19.646,1,2.0,False,,False,True,100.467,82.1921935483871
