,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,LapNumber,Sector1Time,Sector2Time,Sector3Time,LapTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),RollingAverageLap
16,VER,0 days 00:01:16.860000,17.0,1.0,MEDIUM,17.0,17.0,0 days 00:00:20.186000,0 days 00:00:36.210000,0 days 00:00:20.464000,76.86,20.186,36.21,20.464,77.925
17,VER,0 days 00:01:16.712000,18.0,1.0,MEDIUM,18.0,18.0,0 days 00:00:20.148000,0 days 00:00:36.094000,0 days 00:00:20.470000,76.712,20.148,36.094,20.47,77.85761111111111
18,VER,0 days 00:01:16.823000,19.0,1.0,MEDIUM,19.0,19.0,0 days 00:00:20.223000,0 days 00:00:36.163000,0 days 00:00:20.437000,76.823,20.223,36.163,20.437,77.80315789473684
19,VER,0 days 00:01:17.214000,20.0,1.0,MEDIUM,20.0,20.0,0 days 00:00:20.207000,0 days 00:00:36.333000,0 days 00:00:20.674000,77.214,20.207,36.333,20.674,77.77369999999999
20,VER,0 days 00:01:16.803000,21.0,1.0,MEDIUM,21.0,21.0,0 days 00:00:20.157000,0 days 00:00:36.186000,0 days 00:00:20.460000,76.803,20.157,36.186,20.46,77.7274761904762
21,VER,0 days 00:01:16.659000,22.0,1.0,MEDIUM,22.0,22.0,0 days 00:00:20.084000,0 days 00:00:36.154000,0 days 00:00:20.421000,76.659,20.084,36.154,20.421,77.67890909090909
22,VER,0 days 00:01:16.604000,23.0,1.0,MEDIUM,23.0,23.0,0 days 00:00:20.208000,0 days 00:00:36.076000,0 days 00:00:20.320000,76.604,20.208,36.076,20.32,77.63217391304347
23,VER,0 days 00:01:16.798000,24.0,1.0,MEDIUM,24.0,24.0,0 days 00:00:20.160000,0 days 00:00:36.094000,0 days 00:00:20.544000,76.798,20.16,36.094,20.544,77.59741666666666
24,VER,0 days 00:01:17.183000,25.0,1.0,MEDIUM,25.0,25.0,0 days 00:00:20.245000,0 days 00:00:36.397000,0 days 00:00:20.541000,77.183,20.245,36.397,20.541,77.58084
25,VER,0 days 00:01:17.212000,26.0,1.0,MEDIUM,26.0,26.0,0 days 00:00:20.318000,0 days 00:00:36.387000,0 days 00:00:20.507000,77.212,20.318,36.387,20.507,77.56665384615384
26,VER,0 days 00:01:17.259000,27.0,1.0,MEDIUM,27.0,27.0,0 days 00:00:20.263000,0 days 00:00:36.370000,0 days 00:00:20.626000,77.259,20.263,36.37,20.626,77.55525925925927
27,VER,0 days 00:01:17.770000,28.0,1.0,MEDIUM,28.0,28.0,0 days 00:00:20.336000,0 days 00:00:36.715000,0 days 00:00:20.719000,77.77,20.336,36.715,20.719,77.56292857142857
28,VER,0 days 00:01:18.001000,29.0,1.0,MEDIUM,29.0,29.0,0 days 00:00:20.358000,0 days 00:00:36.723000,0 days 00:00:20.920000,78.001,20.358,36.723,20.92,77.57803448275862
29,VER,0 days 00:01:18.160000,30.0,1.0,MEDIUM,30.0,30.0,0 days 00:00:20.292000,0 days 00:00:36.888000,0 days 00:00:20.980000,78.16,20.292,36.888,20.98,77.59743333333334
30,VER,0 days 00:01:18.741000,31.0,1.0,MEDIUM,31.0,31.0,0 days 00:00:20.522000,0 days 00:00:37.201000,0 days 00:00:21.018000,78.741,20.522,37.201,21.018,77.63432258064516
31,VER,0 days 00:01:18.816000,32.0,1.0,MEDIUM,32.0,32.0,0 days 00:00:20.514000,0 days 00:00:37.616000,0 days 00:00:20.686000,78.816,20.514,37.616,20.686,77.67125
32,VER,0 days 00:01:18.946000,33.0,1.0,MEDIUM,33.0,33.0,0 days 00:00:20.388000,0 days 00:00:37.184000,0 days 00:00:21.374000,78.946,20.388,37.184,21.374,77.70987878787878
33,VER,0 days 00:01:18.044000,34.0,1.0,MEDIUM,34.0,34.0,0 days 00:00:20.330000,0 days 00:00:36.922000,0 days 00:00:20.792000,78.044,20.33,36.922,20.792,77.71970588235294
34,VER,0 days 00:01:18.024000,35.0,1.0,MEDIUM,35.0,35.0,0 days 00:00:20.355000,0 days 00:00:36.913000,0 days 00:00:20.756000,78.024,20.355,36.913,20.756,77.72840000000001
35,VER,0 days 00:01:17.974000,36.0,1.0,MEDIUM,36.0,36.0,0 days 00:00:20.616000,0 days 00:00:36.766000,0 days 00:00:20.592000,77.974,20.616,36.766,20.592,77.73522222222222
36,VER,0 days 00:01:17.273000,37.0,1.0,MEDIUM,37.0,37.0,0 days 00:00:20.145000,0 days 00:00:36.631000,0 days 00:00:20.497000,77.273,20.145,36.631,20.497,77.72272972972974
37,VER,0 days 00:01:17.122000,38.0,1.0,MEDIUM,38.0,38.0,0 days 00:00:20.055000,0 days 00:00:36.492000,0 days 00:00:20.575000,77.122,20.055,36.492,20.575,77.70692105263157
38,VER,0 days 00:01:16.966000,39.0,1.0,MEDIUM,39.0,39.0,0 days 00:00:20.026000,0 days 00:00:36.407000,0 days 00:00:20.533000,76.966,20.026,36.407,20.533,77.68792307692308
39,VER,0 days 00:01:17.161000,40.0,1.0,MEDIUM,40.0,40.0,0 days 00:00:20.110000,0 days 00:00:36.515000,0 days 00:00:20.536000,77.161,20.11,36.515,20.536,77.67474999999999
40,VER,0 days 00:01:16.944000,41.0,1.0,MEDIUM,41.0,41.0,0 days 00:00:20.092000,0 days 00:00:36.394000,0 days 00:00:20.458000,76.944,20.092,36.394,20.458,77.6569268292683
41,VER,0 days 00:01:16.800000,42.0,1.0,MEDIUM,42.0,42.0,0 days 00:00:19.937000,0 days 00:00:36.446000,0 days 00:00:20.417000,76.8,19.937,36.446,20.417,77.63652380952381
42,VER,0 days 00:01:16.963000,43.0,1.0,MEDIUM,43.0,43.0,0 days 00:00:19.979000,0 days 00:00:36.577000,0 days 00:00:20.407000,76.963,19.979,36.577,20.407,77.62086046511628
43,VER,0 days 00:01:16.722000,44.0,1.0,MEDIUM,44.0,44.0,0 days 00:00:19.943000,0 days 00:00:36.347000,0 days 00:00:20.432000,76.722,19.943,36.347,20.432,77.60043181818182
44,VER,0 days 00:01:16.701000,45.0,1.0,MEDIUM,45.0,45.0,0 days 00:00:19.913000,0 days 00:00:36.379000,0 days 00:00:20.409000,76.701,19.913,36.379,20.409,77.58044444444444
45,VER,0 days 00:01:17.075000,46.0,1.0,MEDIUM,46.0,46.0,0 days 00:00:19.990000,0 days 00:00:36.632000,0 days 00:00:20.453000,77.075,19.99,36.632,20.453,77.56945652173913
46,VER,0 days 00:01:17.160000,47.0,1.0,MEDIUM,47.0,47.0,0 days 00:00:20.018000,0 days 00:00:36.619000,0 days 00:00:20.523000,77.16,20.018,36.619,20.523,77.56074468085106
47,VER,0 days 00:01:17.065000,48.0,1.0,MEDIUM,48.0,48.0,0 days 00:00:19.972000,0 days 00:00:36.606000,0 days 00:00:20.487000,77.065,19.972,36.606,20.487,77.55041666666666
48,VER,0 days 00:01:17.428000,49.0,1.0,MEDIUM,49.0,49.0,0 days 00:00:20.073000,0 days 00:00:36.700000,0 days 00:00:20.655000,77.428,20.073,36.7,20.655,77.54791836734694
49,VER,0 days 00:01:17.314000,50.0,1.0,MEDIUM,50.0,50.0,0 days 00:00:20.095000,0 days 00:00:36.655000,0 days 00:00:20.564000,77.314,20.095,36.655,20.564,77.54324
50,VER,0 days 00:01:17.427000,51.0,1.0,MEDIUM,51.0,51.0,0 days 00:00:20.073000,0 days 00:00:36.836000,0 days 00:00:20.518000,77.427,20.073,36.836,20.518,77.54096078431373
51,VER,0 days 00:01:24.046000,52.0,1.0,MEDIUM,52.0,52.0,0 days 00:00:20.561000,0 days 00:00:41.201000,0 days 00:00:22.284000,84.046,20.561,41.201,22.284,77.6660576923077
52,VER,0 days 00:01:29.919000,53.0,1.0,MEDIUM,53.0,53.0,0 days 00:00:23.457000,0 days 00:00:44.072000,0 days 00:00:22.390000,89.919,23.457,44.072,22.39,77.89724528301888
53,VER,0 days 00:01:38.946000,54.0,1.0,MEDIUM,54.0,54.0,0 days 00:00:24.995000,0 days 00:00:49.817000,0 days 00:00:24.134000,98.946,24.995,49.817,24.134,78.28703703703704
54,VER,0 days 00:02:10.567000,55.0,1.0,MEDIUM,55.0,55.0,0 days 00:00:28.610000,0 days 00:00:55.513000,0 days 00:00:46.444000,130.567,28.61,55.513,46.444,79.23758181818182
55,VER,0 days 00:01:46.131000,56.0,2.0,INTERMEDIATE,1.0,56.0,0 days 00:00:30.769000,0 days 00:00:48.885000,0 days 00:00:26.477000,106.131,30.769,48.885,26.477,79.71782142857144
56,VER,0 days 00:01:43.464000,57.0,2.0,INTERMEDIATE,2.0,57.0,0 days 00:00:28.427000,0 days 00:00:48.738000,0 days 00:00:26.299000,103.464,28.427,48.738,26.299,80.13442105263158
57,VER,0 days 00:01:42.808000,58.0,2.0,INTERMEDIATE,3.0,58.0,0 days 00:00:28.298000,0 days 00:00:47.828000,0 days 00:00:26.682000,102.808,28.298,47.828,26.682,80.52534482758621
58,VER,0 days 00:01:43.791000,59.0,2.0,INTERMEDIATE,4.0,59.0,0 days 00:00:28.509000,0 days 00:00:48.450000,0 days 00:00:26.832000,103.791,28.509,48.45,26.832,80.9196779661017
59,VER,0 days 00:01:41.540000,60.0,2.0,INTERMEDIATE,5.0,60.0,0 days 00:00:28.156000,0 days 00:00:47.156000,0 days 00:00:26.228000,101.54,28.156,47.156,26.228,81.26335
60,VER,0 days 00:01:40.797000,61.0,2.0,INTERMEDIATE,6.0,61.0,0 days 00:00:26.984000,0 days 00:00:47.662000,0 days 00:00:26.151000,100.797,26.984,47.662,26.151,81.5835737704918
61,VER,0 days 00:01:39.272000,62.0,2.0,INTERMEDIATE,7.0,62.0,0 days 00:00:26.805000,0 days 00:00:46.575000,0 days 00:00:25.892000,99.272,26.805,46.575,25.892,81.86887096774193
62,VER,0 days 00:01:39.610000,63.0,2.0,INTERMEDIATE,8.0,63.0,0 days 00:00:26.537000,0 days 00:00:47.112000,0 days 00:00:25.961000,99.61,26.537,47.112,25.961,82.15047619047618
63,VER,0 days 00:01:38.364000,64.0,2.0,INTERMEDIATE,9.0,64.0,0 days 00:00:26.081000,0 days 00:00:46.953000,0 days 00:00:25.330000,98.364,26.081,46.953,25.33,82.4038125
64,VER,0 days 00:01:37.160000,65.0,2.0,INTERMEDIATE,10.0,65.0,0 days 00:00:25.762000,0 days 00:00:46.617000,0 days 00:00:24.781000,97.16,25.762,46.617,24.781,82.63083076923077
65,VER,0 days 00:01:34.035000,66.0,2.0,INTERMEDIATE,11.0,66.0,0 days 00:00:25.164000,0 days 00:00:45.389000,0 days 00:00:23.482000,94.035,25.164,45.389,23.482,82.80362121212121
66,VER,0 days 00:01:32.921000,67.0,2.0,INTERMEDIATE,12.0,67.0,0 days 00:00:24.664000,0 days 00:00:45.275000,0 days 00:00:22.982000,92.921,24.664,45.275,22.982,82.95462686567164
67,VER,0 days 00:01:33.659000,68.0,2.0,INTERMEDIATE,13.0,68.0,0 days 00:00:24.462000,0 days 00:00:45.428000,0 days 00:00:23.769000,93.659,24.462,45.428,23.769,83.11204411764706
68,VER,0 days 00:01:31.607000,69.0,2.0,INTERMEDIATE,14.0,69.0,0 days 00:00:24.291000,0 days 00:00:44.421000,0 days 00:00:22.895000,91.607,24.291,44.421,22.895,83.23515942028985
69,VER,0 days 00:01:31.244000,70.0,2.0,INTERMEDIATE,15.0,70.0,0 days 00:00:24.246000,0 days 00:00:43.908000,0 days 00:00:23.090000,91.244,24.246,43.908,23.09,83.34957142857144
70,VER,0 days 00:01:30.363000,71.0,2.0,INTERMEDIATE,16.0,71.0,0 days 00:00:24.390000,0 days 00:00:43.707000,0 days 00:00:22.266000,90.363,24.39,43.707,22.266,83.44835211267605
71,VER,0 days 00:01:30.402000,72.0,2.0,INTERMEDIATE,17.0,72.0,0 days 00:00:23.566000,0 days 00:00:44.437000,0 days 00:00:22.399000,90.402,23.566,44.437,22.399,83.54493055555555
72,VER,0 days 00:01:28.386000,73.0,2.0,INTERMEDIATE,18.0,73.0,0 days 00:00:23.253000,0 days 00:00:42.926000,0 days 00:00:22.207000,88.386,23.253,42.926,22.207,83.61124657534246
73,VER,0 days 00:01:26.864000,74.0,2.0,INTERMEDIATE,19.0,74.0,0 days 00:00:23.030000,0 days 00:00:42.003000,0 days 00:00:21.831000,86.864,23.03,42.003,21.831,83.6552027027027
74,VER,0 days 00:01:25.518000,75.0,2.0,INTERMEDIATE,20.0,75.0,0 days 00:00:22.254000,0 days 00:00:41.506000,0 days 00:00:21.758000,85.518,22.254,41.506,21.758,83.68003999999999
75,VER,0 days 00:01:25.316000,76.0,2.0,INTERMEDIATE,21.0,76.0,0 days 00:00:22.131000,0 days 00:00:41.454000,0 days 00:00:21.731000,85.316,22.131,41.454,21.731,83.70156578947369
76,VER,0 days 00:01:25.460000,77.0,2.0,INTERMEDIATE,22.0,77.0,0 days 00:00:22.004000,0 days 00:00:41.347000,0 days 00:00:22.109000,85.46,22.004,41.347,22.109,83.7244025974026
77,VER,0 days 00:01:25.201000,78.0,2.0,INTERMEDIATE,23.0,78.0,0 days 00:00:22.353000,0 days 00:00:40.652000,0 days 00:00:22.196000,85.201,22.353,40.652,22.196,83.74333333333333
78,GAS,0 days 00:01:29.701000,1.0,1.0,HARD,1.0,1.0,,0 days 00:00:39.087000,0 days 00:00:21.849000,89.701,,39.087,21.849,89.701
79,GAS,0 days 00:01:20.636000,2.0,1.0,HARD,2.0,2.0,0 days 00:00:21.350000,0 days 00:00:37.855000,0 days 00:00:21.431000,80.636,21.35,37.855,21.431,85.1685
80,GAS,0 days 00:01:20.282000,3.0,1.0,HARD,3.0,3.0,0 days 00:00:21.121000,0 days 00:00:37.704000,0 days 00:00:21.457000,80.282,21.121,37.704,21.457,83.53966666666666
81,GAS,0 days 00:01:19.577000,4.0,1.0,HARD,4.0,4.0,0 days 00:00:20.966000,0 days 00:00:37.533000,0 days 00:00:21.078000,79.577,20.966,37.533,21.078,82.54899999999999
82,GAS,0 days 00:01:18.893000,5.0,1.0,HARD,5.0,5.0,0 days 00:00:20.723000,0 days 00:00:37.119000,0 days 00:00:21.051000,78.893,20.723,37.119,21.051,81.8178
